idmen_care,AHENTSEX,AHENTAGE,AHENTCOH,SCORE_AIDE
1430,1.0,41.0,0,0.0
1430,2.0,35.0,0,0.0
1433,1.0,64.0,1,2.0
1433,1.0,32.0,0,2.0
1433,1.0,36.0,0,0.0
1433,1.0,28.0,0,0.0
1436,2.0,64.0,1,0.0
1438,1.0,64.0,1,0.0
1438,2.0,65.0,0,0.0
1439,2.0,85.0,0,2.0
1444,2.0,61.0,1,0.0
1445,2.0,62.0,1,2.0
1449,2.0,66.0,0,0.0
1449,1.0,33.0,0,0.0
1450,1.0,65.0,1,0.0
1452,2.0,29.0,0,1.0
1453,2.0,58.0,0,0.0
1455,2.0,58.0,1,1.0
1459,2.0,63.0,1,1.0
1460,2.0,73.0,0,0.0
1460,1.0,45.0,0,0.0
1460,2.0,44.0,0,0.0
1460,2.0,44.0,0,0.0
1460,1.0,50.0,0,0.0
1461,2.0,52.0,0,2.0
1461,1.0,50.0,0,0.0
1461,1.0,17.0,0,1.0
1461,2.0,16.0,0,1.0
1465,1.0,68.0,1,2.0
1474,2.0,41.0,0,0.0
1474,,,0,1.0
1493,2.0,63.0,1,0.0
1497,2.0,42.0,0,0.0
1497,2.0,58.0,1,0.0
1497,1.0,34.0,1,0.0
1504,1.0,69.0,1,1.0
1510,2.0,52.0,1,1.0
1518,1.0,65.0,1,4.0
1518,2.0,42.0,0,0.0
1518,1.0,39.0,0,0.0
1518,1.0,16.0,0,0.0
1518,2.0,15.0,0,0.0
1518,1.0,14.0,0,0.0
1518,2.0,12.0,0,0.0
1519,2.0,59.0,1,0.0
1523,2.0,61.0,1,3.0
1530,1.0,40.0,1,3.0
1530,2.0,65.0,0,0.0
1530,2.0,38.0,0,0.0
1530,2.0,30.0,0,3.0
1531,1.0,64.0,1,1.0
1536,1.0,65.0,1,0.0
1538,2.0,44.0,0,1.0
1538,2.0,42.0,0,2.0
1546,2.0,27.0,0,0.0
1553,1.0,65.0,1,0.0
1554,1.0,68.0,0,1.0
1554,2.0,63.0,0,2.0
1554,2.0,66.0,0,1.0
1554,2.0,84.0,1,1.0
1557,1.0,66.0,1,2.0
1566,1.0,34.0,0,0.0
1572,1.0,69.0,1,0.0
1572,2.0,43.0,0,0.0
1576,2.0,44.0,0,0.0
1576,2.0,42.0,0,0.0
1576,2.0,39.0,0,0.0
1576,1.0,37.0,0,0.0
1576,1.0,75.0,0,1.0
1578,2.0,47.0,0,1.0
1578,2.0,45.0,0,0.0
1578,2.0,39.0,0,1.0
1578,2.0,36.0,0,0.0
1578,1.0,32.0,0,0.0
1578,1.0,42.0,0,0.0
1578,1.0,33.0,0,0.0
1578,2.0,56.0,0,0.0
1578,2.0,61.0,0,0.0
1578,2.0,66.0,0,0.0
1584,2.0,34.0,0,0.0
1588,1.0,53.0,1,3.0
1588,2.0,41.0,0,0.0
1593,1.0,68.0,1,0.0
1594,1.0,64.0,1,3.0
1595,2.0,40.0,0,1.0
1596,2.0,62.0,1,0.0
1599,1.0,52.0,1,1.0
1600,2.0,42.0,0,1.0
1600,2.0,44.0,0,0.0
1601,2.0,57.0,1,0.0
1610,1.0,67.0,1,3.0
1614,1.0,80.0,0,0.0
1621,2.0,58.0,1,1.0
1621,1.0,40.0,0,0.0
1621,2.0,19.0,1,0.0
1621,2.0,81.0,0,0.0
1627,1.0,62.0,1,3.0
1629,2.0,73.0,1,1.0
1632,2.0,53.0,1,1.0
1643,2.0,56.0,1,0.0
1643,2.0,36.0,0,0.0
1648,2.0,40.0,0,2.0
1648,1.0,17.0,0,0.0
1648,1.0,48.0,0,0.0
1652,2.0,67.0,1,3.0
1652,2.0,33.0,0,2.0
1653,2.0,67.0,1,0.0
1653,2.0,60.0,0,0.0
1653,2.0,71.0,0,1.0
1653,1.0,67.0,0,1.0
1653,1.0,69.0,0,1.0
1653,2.0,55.0,0,0.0
1653,2.0,30.0,0,0.0
1657,2.0,75.0,0,0.0
1657,2.0,44.0,0,0.0
1658,2.0,42.0,0,0.0
1660,1.0,57.0,1,4.0
1660,1.0,31.0,1,0.0
1661,2.0,54.0,1,1.0
1661,2.0,16.0,1,2.0
1661,2.0,80.0,0,2.0
1661,1.0,23.0,0,0.0
1662,1.0,67.0,1,2.0
1662,2.0,41.0,0,0.0
1663,1.0,65.0,0,0.0
1664,2.0,60.0,1,0.0
1665,1.0,60.0,1,2.0
1668,2.0,58.0,1,0.0
1669,2.0,63.0,1,0.0
